"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.00604574400778362,9,75,4.58285714285714,"GO:0005657 Replication fork ","https://amigo.geneontology.org/amigo/term/GO:0005657"," XRCC3  SMARCAL1  RADX  XRCC2  RTF2  SMARCAD1  PRIMPOL  NBN  WRN"
0.00407887814063321,15,180,3.18253968253968,"GO:0036064 Ciliary basal body ","https://amigo.geneontology.org/amigo/term/GO:0036064"," KIAA0586  IFT56  AHI1  CCSAP  RTTN  ERC1  AURKA  HDAC6  CCDC88A  IFT81  IFT52  NEK4  ATXN10  TUBG1  MLF1"
0.00269669602001242,20,271,2.81848532771042,"GO:0031968 Organelle outer membrane ","https://amigo.geneontology.org/amigo/term/GO:0031968"," DNAJC11  RHOT1  PSEN1  DNM1L  TAFAZZIN  ATF2  HAX1  LETMD1  CYB5R3  ARMCX3  ACSL3  MTCH1  LRPPRC  MTOR  GK  DMD  CASP8  ACACB  KRAS  DCAKD"
0.00269669602001242,20,273,2.79783708355137,"GO:0019867 Outer membrane ","https://amigo.geneontology.org/amigo/term/GO:0019867"," DNAJC11  RHOT1  PSEN1  DNM1L  TAFAZZIN  ATF2  HAX1  LETMD1  CYB5R3  ARMCX3  ACSL3  MTCH1  LRPPRC  MTOR  GK  DMD  CASP8  ACACB  KRAS  DCAKD"
0.00706294312853837,17,237,2.73940124573036,"GO:0005741 Mitochondrial outer membrane ","https://amigo.geneontology.org/amigo/term/GO:0005741"," DNAJC11  RHOT1  DNM1L  TAFAZZIN  ATF2  HAX1  LETMD1  CYB5R3  ARMCX3  ACSL3  MTCH1  MTOR  GK  CASP8  ACACB  KRAS  DCAKD"
0.00158256219179714,25,366,2.60863908404892,"GO:0061695 Transferase complex transferring phosphorus-containing groups ","https://amigo.geneontology.org/amigo/term/GO:0061695"," CDK13  POLRMT  CCNY  GTF2H3  CCNH  SKIC8  IGF1R  PRPSAP2  TAF9  ERC1  KAT2A  ACVR1  TBC1D5  GMPPA  EXT2  GMPPB  TRRAP  PHKG2  CCNL1  PRIMPOL  CDK11A  CDK16  MED12  CAB39L  ENY2"
6.27135768413661e-05,47,802,2.23809523809524,"GO:0005813 Centrosome ","https://amigo.geneontology.org/amigo/term/GO:0005813"," AURKA  UNC119  CCDC88A  IFT81  STIL  TUBG1  CDK5RAP2  NUMA1  CEP57  DCTN2  XRCC2  CEP68  HMMR  FBXW11  DNM2  PSEN1  ERC1  HDAC6  KIAA0586  NDRG1  CDK5RAP3  KAT2A  NIT2  NFE2L2  TGIF2  RBBP6  FRMD8  GNAI1  AHI1  CCSAP  WDR90  HIPK1  DCAF13  WRN  RTTN  ILRUN  DDX3X  NFS1  EVI5  NSFL1C  IFT52  IFT56  LZTS2  IFT22  TACC1  PAK1  RGS14"
0.00438009946023257,31,564,2.09912191827085,"GO:0005667 Transcription regulator complex ","https://amigo.geneontology.org/amigo/term/GO:0005667"," ATF2  TEAD3  NFAT5  TLE4  GTF2H3  STAT1  STAT5A  E2F5  CCNH  TLE3  ATF7IP2  STAT2  TAF9  ADNP  KAT2A  HAX1  JAZF1  NAA15  TRRAP  N4BP2L2  BMAL1  MEIS1  PKNOX1  MXD3  LIN37  MED15  NFE2L2  ATF7  KDM1A  NAA16  ENY2"
6.27135768413661e-05,54,990,2.08311688311688,"GO:1990234 Transferase complex ","https://amigo.geneontology.org/amigo/term/GO:1990234"," CUL4B  MAT2B  JADE2  PIGV  CDK13  PIGS  SETD1A  POLRMT  CCNY  KAT2A  GTF2H3  PHC1  KMT2A  ENY2  ANAPC13  CCNH  SKIC8  IGF1R  PRPSAP2  GOLGA7  NAA15  KMT2D  NAA16  MSL2  SHARPIN  TRRAP  TAF9  FBXW11  ERC1  PRMT5  ACVR1  ATF2  PRMT1  TBC1D5  ISCU  GMPPA  EXT2  DCAF13  USP47  GMPPB  BRCC3  NFS1  ACACB  PHKG2  CCNL1  PRIMPOL  MED12  MIB2  CDK11A  CDK16  CAB39L  DPH1  LMO7  WWP2"
0.000352871039850139,50,953,2.00369759656223,"GO:0005815 Microtubule organizing center ","https://amigo.geneontology.org/amigo/term/GO:0005815"," AURKA  KIAA0586  IFT52  IFT56  UNC119  CCDC88A  IFT81  STIL  TUBG1  AHI1  CDK5RAP2  NUMA1  CCSAP  WDR90  CEP57  DCTN2  RTTN  XRCC2  CEP68  HMMR  FBXW11  DNM2  PSEN1  ERC1  HDAC6  NDRG1  CDK5RAP3  KAT2A  NIT2  NFE2L2  TGIF2  RBBP6  FRMD8  GNAI1  HIPK1  DCAF13  WRN  ILRUN  DDX3X  NFS1  EVI5  NSFL1C  LZTS2  NEK4  IFT22  ATXN10  TACC1  PAK1  RGS14  MLF1"
2.87921632894844e-07,98,1990,1.88073701842546,"GO:1902494 Catalytic complex ","https://amigo.geneontology.org/amigo/term/GO:1902494"," CUL4B  MAT2B  JADE2  PIGV  CDK13  GNB1  PSEN1  PIGS  PSMC5  GANAB  HDAC6  SETD1A  POLRMT  PPIL2  DICER1  SF3A2  PPP2R1A  CCNY  SMARCD2  KAT2A  ELP4  GTF2H3  PHC1  DROSHA  KMT2A  FAM98A  ENY2  GNAI1  ANAPC13  CCNH  SKIC8  IGF1R  PRPSAP2  SAE1  GOLGA7  NDUFS2  NAA15  NDUFB8  KMT2D  GNG4  NAA16  UQCRH  MSL2  SHARPIN  NDUFA4L2  TRRAP  PPP1R3E  TAF9  KDM1A  CASP8  FBXW11  ERC1  TOX4  CYB5R3  PRMT5  CASC3  PSMD9  ACVR1  ATF2  PRMT1  TBC1D5  WDR74  ISCU  WRAP53  GMPPA  CAMK2G  EXT2  NCSTN  YY1AP1  DCAF13  USP47  PPP1CA  GMPPB  BRCC3  P4HB  NFS1  PLAUR  ACACB  PAFAH1B3  UBE3A  ATP6V0B  CYREN  PHKG2  CCNL1  PRIMPOL  DCTN2  RAD23A  MED12  MIB2  ATP6AP2  CFH  CDK11A  CDK16  BAZ2A  CAB39L  DPH1  LMO7  WWP2"
0.00339491676614654,47,986,1.82043852023568,"GO:0016604 Nuclear body ","https://amigo.geneontology.org/amigo/term/GO:0016604"," USP7  WRAP53  HIPK1  DNAJC11  CDK13  BAZ2A  MEF2C  ITPKC  TINF2  SETD1A  SBF1  VRK1  FMR1  NBN  EIF3E  CRTC1  NUP98  ERBIN  GON4L  RO60  RBBP6  THOC6  DDX46  RADX  NAA15  WRN  XRRA1  RNF34  ATPAF2  ZBTB18  SATB1  CHEK2  ILRUN  BRD2  GLI2  ZNF638  XPO1  WAC  SRP54  SF3A2  CASC3  PHC1  BMAL1  CCNL1  NOLC1  RGS14  MTOR"
0.0032788488033953,53,1153,1.75550324206005,"GO:0005730 Nucleolus ","https://amigo.geneontology.org/amigo/term/GO:0005730"," RPL3  RPL7  WDR3  EBNA1BP2  NOL11  WDR74  DEDD  DEDD2  DCAF13  NOLC1  NOC2L  POMT2  CPS1  LETMD1  ATXN3  ACADVL  GLI2  TOP2B  XPO1  VRK1  FMR1  MRPS31  SPG11  NBN  DNAJC2  CCNY  CDK5RAP3  STAT1  SMUG1  ABCC4  GNAI1  PRMT7  E2F5  THUMPD3  APTX  NFIC  DDX46  ZCCHC7  JAZF1  YY1AP1  PTPN13  WRN  FAM111A  ZEB2  DEAF1  SPATS2L  BAZ2A  VPS29  DROSHA  RBBP6  PANK1  OXR1  PPP1CA"
0.00159353344361033,65,1450,1.711986863711,"GO:0140513 Nuclear protein-containing complex ","https://amigo.geneontology.org/amigo/term/GO:0140513"," ATF2  NFE2L2  LUC7L  WDR3  CDK13  TINF2  HDAC6  SETD1A  PPIL2  GINS1  NBN  SF3A2  CASC3  SMARCD2  ELP4  NUP98  GTF2H3  PHC1  DROSHA  STAT1  KMT2A  ENY2  PMS2  XRCC3  STAT5A  ANAPC13  THOC6  E2F5  PRPF38B  CCNH  SKIC8  SAE1  ZCCHC7  CPSF7  KMT2D  ZRSR2  GPS1  STAT2  MED12  BRCC3  NOC2L  XRCC2  LIN37  TAF9  HSPA5  PRMT5  ADNP  TLE4  KAT2A  CHTF18  NOL11  WDR74  SMARCAL1  TLE3  WRAP53  DDX46  YY1AP1  LARP7  TRRAP  WAC  MXD3  MED15  BMAL1  ATF7  BAZ2A"
0.000322781265502758,92,2160,1.62663139329806,"GO:0005694 Chromosome ","https://amigo.geneontology.org/amigo/term/GO:0005694"," TINF2  MACROH2A2  NBN  SMARCD2  JADE2  FBXW11  BAZ2A  AURKA  GINS1  KAT2A  KDM5B  ENY2  XRCC3  SMARCAL1  RADX  UVSSA  SPIDR  WRN  FAM111A  MSL2  KDM4D  TRRAP  XRCC2  RAD21L1  TAF9  STAT2  KDM1A  RTF2  TOP2B  PSEN1  XPO1  TOX4  SETD1A  PRMT5  VRK1  SALL1  PPP2R1A  NUP98  STAT1  ATF2  EBNA1BP2  CHTF18  THOC6  APTX  LRPPRC  SKIC8  WRAP53  UHRF2  SUV39H2  SMARCAD1  YY1AP1  PRIMPOL  ZEB2  PPP1CA  DCTN2  ZBTB18  CHEK2  NOC2L  PELI1  BRD2  ZMYND11  NSFL1C  ADNP  FMR1  NFAT5  PHC1  NFE2L2  RBBP6  CYREN  TUBG1  SPOCD1  NUMA1  PAK1  ATF7  USP7  TEAD3  MEF2C  ZFHX4  TGIF2  FOSB  STAT5A  E2F5  BMAL1  MEIS2  NFIC  MEIS1  PKNOX1  EBF1  DEAF1  SATB1  MXD3  EIF3E"
